,DP05_0001E,state,county,tract,DP02_0001E,DP03_0062E,DP03_0063E,DP03_0119E
253,3959,17,031,220702,1645,79969,95472,-888888888
254,3090,17,031,220901,1077,62917,78888,-888888888
255,3194,17,031,220902,994,73239,93940,-888888888
256,2571,17,031,221000,1079,82102,92608,-888888888
257,4542,17,031,221100,1979,87478,117130,-888888888
258,2865,17,031,221200,1250,128243,179126,-888888888
259,3011,17,031,221300,1460,81264,118620,-888888888
260,3083,17,031,221400,1515,104583,155038,-888888888
261,2767,17,031,221500,1344,62500,112551,-888888888
262,3389,17,031,221600,1423,135236,186351,-888888888
263,2243,17,031,222200,1001,184727,232195,-888888888
264,1468,17,031,222500,563,147582,173459,-888888888
265,1608,17,031,222600,767,90313,126807,-888888888
266,2202,17,031,222700,812,80391,101565,-888888888
267,1052,17,031,222800,452,84239,82475,-888888888
268,986,17,031,222900,375,100847,126381,-888888888
269,1636,17,031,230100,624,90833,124666,-888888888
270,1977,17,031,230200,680,72083,115940,-888888888
271,905,17,031,230300,252,58696,76836,-888888888
272,2116,17,031,230400,739,51495,73303,-888888888
273,3080,17,031,230500,1258,28413,45136,-888888888
274,8977,17,031,230600,2037,55304,77295,-888888888
275,5773,17,031,230700,2005,32576,49285,-888888888
276,1029,17,031,230800,362,68485,75156,-888888888
277,4903,17,031,230900,2024,70926,94807,-888888888
278,1362,17,031,231100,418,60333,84209,-888888888
279,5957,17,031,231200,2078,39917,46185,-888888888
280,5809,17,031,231500,2220,37237,55502,-888888888
281,1966,17,031,240200,811,166458,268258,-888888888
282,1272,17,031,240300,607,161125,308247,-888888888
283,2515,17,031,240500,1322,171962,205825,-888888888
284,1639,17,031,240600,713,157938,217827,-888888888
285,1634,17,031,240700,717,102102,158065,-888888888
286,1480,17,031,240800,654,130278,156857,-888888888
287,1093,17,031,240900,536,76429,89341,-888888888
288,1792,17,031,241000,826,90185,115738,-888888888
289,3650,17,031,241100,1544,92927,126288,-888888888
290,1698,17,031,241200,869,131875,160378,-888888888
291,1888,17,031,241300,767,167292,212919,-888888888
292,5584,17,031,241400,2480,178434,239788,-888888888
293,2823,17,031,241500,1295,173393,216213,-888888888
294,3397,17,031,241600,1702,111458,132869,-888888888
295,4378,17,031,242000,2232,145583,157611,-888888888
296,3817,17,031,242100,2000,179015,188175,-888888888
297,4014,17,031,242200,1911,164025,204337,-888888888
298,3805,17,031,242300,1724,104397,152552,-888888888
299,2705,17,031,242400,1492,103095,135523,-888888888
300,3255,17,031,242500,1537,81875,103158,-888888888
301,5512,17,031,242600,2596,79583,100806,-888888888
302,1837,17,031,242700,795,61964,98402,-888888888
303,1450,17,031,242800,670,139500,195694,-888888888
304,2032,17,031,242900,851,143750,190162,-888888888
305,2223,17,031,243000,1059,113125,145183,-888888888
306,2159,17,031,243100,947,114464,205222,-888888888
307,2329,17,031,243200,1069,136094,183832,-888888888
308,2285,17,031,243300,1317,128375,167576,-888888888
309,2931,17,031,243400,1424,124773,133769,-888888888
310,4567,17,031,243500,2315,160370,189632,-888888888
311,3051,17,031,250200,901,49327,77012,-888888888
312,4844,17,031,250300,1604,47550,78121,-888888888
313,5513,17,031,250400,2030,46709,90070,-888888888
314,6903,17,031,250500,2805,119514,116025,-888888888
315,4542,17,031,250600,1290,65486,90346,-888888888
316,6466,17,031,250700,2239,44624,53726,-888888888
317,2693,17,031,250800,787,63047,59412,-888888888
318,1380,17,031,251000,426,31690,46183,-888888888
319,4544,17,031,251100,1754,38350,55873,-888888888
320,3840,17,031,251200,1200,46483,68195,-888888888
321,4915,17,031,251300,1498,38920,60818,-888888888
322,3712,17,031,251400,2130,22029,42812,-888888888
323,4324,17,031,251500,1357,40077,54174,-888888888
324,4456,17,031,251600,1240,35417,50888,-888888888
325,1291,17,031,251700,422,52763,58559,-888888888
326,5399,17,031,251800,1740,30341,36511,-888888888
327,5086,17,031,251900,2344,26300,45550,-888888888
328,6308,17,031,252000,2584,29596,49213,-888888888
329,1492,17,031,252101,683,35574,71928,-888888888
330,7020,17,031,252102,2203,47255,50326,-888888888
331,3258,17,031,252201,1063,47979,68614,-888888888
332,4945,17,031,252202,1828,41167,56396,-888888888
333,1016,17,031,260100,592,18906,35205,-888888888
334,1232,17,031,260200,372,45857,58156,-888888888
335,1878,17,031,260300,574,20739,44295,-888888888
336,939,17,031,260400,455,-666666666,31897,-888888888
337,1767,17,031,260500,623,39102,44600,-888888888
338,2398,17,031,260600,691,47708,56433,-888888888
339,1524,17,031,260700,555,42917,66449,-888888888
340,2001,17,031,260800,673,39696,53066,-888888888
341,1351,17,031,260900,426,19417,33681,-888888888
342,2268,17,031,261000,949,45086,51081,-888888888
343,1380,17,031,270500,625,19717,29728,-888888888
344,1384,17,031,271200,393,32401,57684,-888888888
345,964,17,031,271300,360,23900,45278,-888888888
346,1359,17,031,271400,515,40670,50930,-888888888
347,1470,17,031,271500,528,42171,63720,-888888888
348,656,17,031,271800,236,58167,76111,-888888888
349,7730,17,031,280100,5289,136378,185917,-888888888
350,1423,17,031,280400,544,44414,64321,-888888888
351,852,17,031,280800,387,21103,54064,-888888888
352,1122,17,031,280900,379,47784,242040,-888888888
353,6749,17,031,281900,4133,135243,158464,-888888888
